,Date,Open,High,Low,Close,Adj Close,Volume,Average,Ticker
237,2018-12-31,337.790009,339.209991,297.380005,317.690002,317.690002,32309400,318.29499799999996,original/TSLA
238,2019-01-07,321.72000099999997,348.410004,317.75,347.26001,347.26001,31088100,333.08000200000004,original/TSLA
239,2019-01-14,342.380005,352.0,299.730011,302.26001,302.26001,43823100,325.8650055,original/TSLA
240,2019-01-21,304.820007,308.0,279.27999900000003,297.040009,297.040009,39858500,293.63999950000004,original/TSLA
241,2019-01-28,292.910004,316.100006,287.75,312.209991,312.209991,42147900,301.925003,original/TSLA
242,2019-02-04,312.980011,324.23999,298.5,305.799988,305.799988,31498200,311.369995,original/TSLA
243,2019-02-11,311.600006,318.600006,301.0,307.880005,307.880005,26894600,309.800003,original/TSLA
244,2019-02-18,306.559998,311.540009,290.5,294.709991,294.709991,25960300,301.0200045,original/TSLA
245,2019-02-25,297.910004,320.0,288.769989,294.790009,294.790009,59825000,304.3849945,original/TSLA
246,2019-03-04,298.119995,299.0,270.100006,284.140015,284.140015,64436600,284.550003,original/TSLA
247,2019-03-11,283.519989,295.390015,274.399994,275.429993,275.429993,43630000,284.8950045,original/TSLA
248,2019-03-18,276.0,278.049988,263.459991,264.52999900000003,264.52999900000003,43682500,270.75498949999997,original/TSLA
249,2019-03-25,259.709991,280.329987,254.460007,279.859985,279.859985,39110500,267.394997,original/TSLA
250,2019-04-01,282.619995,296.170013,260.589996,274.959991,274.959991,58278200,278.3800045,original/TSLA
251,2019-04-08,277.690002,281.160004,265.600006,267.700012,267.700012,39957600,273.380005,original/TSLA
252,2019-04-15,268.630005,275.0,258.630005,273.26001,273.26001,28314300,266.8150025,original/TSLA
253,2019-04-22,269.0,269.679993,231.13000499999998,235.13999900000002,235.13999900000002,78028600,250.404999,original/TSLA
254,2019-04-29,235.86000099999998,256.609985,231.5,255.02999900000003,255.02999900000003,78749600,244.0549925,original/TSLA
255,2019-05-06,250.020004,258.350006,236.020004,239.520004,239.520004,40861400,247.185005,original/TSLA
